 ;;;;;;;;;;;;;;;;;;;;;;;;;
Reading, Grade 4, All students;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Data Table 1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Average scale scores and standard deviations for grade 4 reading, by all students [TOTAL] and jurisdiction: 2024, 2022, 2019, 2017, 2015, 2013, 2011, 2009, 2007, 2005, 2003, 2002, 2000, 1998, 1994, and 1992;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Year;Jurisdiction;All students;Average scale score;Standard deviation;;;;;;;;;;;;;;;;;;;;;
2022;Illinois;All students;218;41;;;;;;;;;;;;;;;;;;;;;
2022;Indiana;All students;217;40;;;;;;;;;;;;;;;;;;;;;
2022;Iowa;All students;218;38;;;;;;;;;;;;;;;;;;;;;
2022;Kansas;All students;215;40;;;;;;;;;;;;;;;;;;;;;
2022;Kentucky;All students;217;38;;;;;;;;;;;;;;;;;;;;;
2022;Louisiana;All students;212;41;;;;;;;;;;;;;;;;;;;;;
2022;Maine;All students;213;41;;;;;;;;;;;;;;;;;;;;;
2022;Maryland;All students;212;44;;;;;;;;;;;;;;;;;;;;;
2022;Massachusetts;All students;227;40;;;;;;;;;;;;;;;;;;;;;
2022;Michigan;All students;212;41;;;;;;;;;;;;;;;;;;;;;
2022;Minnesota;All students;215;40;;;;;;;;;;;;;;;;;;;;;
2022;Mississippi;All students;217;37;;;;;;;;;;;;;;;;;;;;;
2022;Missouri;All students;213;41;;;;;;;;;;;;;;;;;;;;;
2022;Montana;All students;219;38;;;;;;;;;;;;;;;;;;;;;
2022;Nebraska;All students;219;40;;;;;;;;;;;;;;;;;;;;;
2022;Nevada;All students;212;40;;;;;;;;;;;;;;;;;;;;;
2022;New Hampshire;All students;223;38;;;;;;;;;;;;;;;;;;;;;
2022;New Jersey;All students;223;39;;;;;;;;;;;;;;;;;;;;;
2022;New Mexico;All students;202;43;;;;;;;;;;;;;;;;;;;;;
2022;New York;All students;214;42;;;;;;;;;;;;;;;;;;;;;
2022;North Carolina;All students;216;41;;;;;;;;;;;;;;;;;;;;;
2022;North Dakota;All students;218;36;;;;;;;;;;;;;;;;;;;;;
2022;Ohio;All students;219;41;;;;;;;;;;;;;;;;;;;;;
2022;Oklahoma;All students;208;39;;;;;;;;;;;;;;;;;;;;;
2022;Oregon;All students;210;43;;;;;;;;;;;;;;;;;;;;;
2022;Pennsylvania;All students;219;40;;;;;;;;;;;;;;;;;;;;;
2022;Rhode Island;All students;217;41;;;;;;;;;;;;;;;;;;;;;
2022;South Carolina;All students;216;40;;;;;;;;;;;;;;;;;;;;;
2022;South Dakota;All students;218;38;;;;;;;;;;;;;;;;;;;;;
2022;Tennessee;All students;214;40;;;;;;;;;;;;;;;;;;;;;
2022;Texas;All students;214;39;;;;;;;;;;;;;;;;;;;;;
2022;Utah;All students;221;39;;;;;;;;;;;;;;;;;;;;;
2022;Vermont;All students;217;42;;;;;;;;;;;;;;;;;;;;;
2022;Virginia;All students;214;43;;;;;;;;;;;;;;;;;;;;;
2022;Washington;All students;217;42;;;;;;;;;;;;;;;;;;;;;
2022;West Virginia;All students;205;42;;;;;;;;;;;;;;;;;;;;;
2022;Wisconsin;All students;217;40;;;;;;;;;;;;;;;;;;;;;
2022;Wyoming;All students;225;36;;;;;;;;;;;;;;;;;;;;;
2019;National;All students;220;39;;;;;;;;;;;;;;;;;;;;;
2019;Alabama;All students;212;40;;;;;;;;;;;;;;;;;;;;;
2019;Alaska;All students;204;47;;;;;;;;;;;;;;;;;;;;;
2019;Arizona;All students;216;39;;;;;;;;;;;;;;;;;;;;;
2019;Arkansas;All students;215;41;;;;;;;;;;;;;;;;;;;;;
2019;California;All students;216;41;;;;;;;;;;;;;;;;;;;;;
2019;Colorado;All students;225;38;;;;;;;;;;;;;;;;;;;;;
2019;Connecticut;All students;224;39;;;;;;;;;;;;;;;;;;;;;
2019;Delaware;All students;218;40;;;;;;;;;;;;;;;;;;;;;
2019;District of Columbia;All students;214;42;;;;;;;;;;;;;;;;;;;;;
2019;DoDEA;All students;235;30;;;;;;;;;;;;;;;;;;;;;
2019;Florida;All students;225;35;;;;;;;;;;;;;;;;;;;;;
2019;Georgia;All students;218;40;;;;;;;;;;;;;;;;;;;;;
2019;Hawaii;All students;218;40;;;;;;;;;;;;;;;;;;;;;
2019;Idaho;All students;223;38;;;;;;;;;;;;;;;;;;;;;
2019;Illinois;All students;218;40;;;;;;;;;;;;;;;;;;;;;
2019;Indiana;All students;222;39;;;;;;;;;;;;;;;;;;;;;
2019;Iowa;All students;221;38;;;;;;;;;;;;;;;;;;;;;
2019;Kansas;All students;219;38;;;;;;;;;;;;;;;;;;;;;
2019;Kentucky;All students;221;38;;;;;;;;;;;;;;;;;;;;;
2019;Louisiana;All students;210;40;;;;;;;;;;;;;;;;;;;;;
2019;Maine;All students;221;38;;;;;;;;;;;;;;;;;;;;;
2019;Maryland;All students;220;41;;;;;;;;;;;;;;;;;;;;;
2019;Massachusetts;All students;231;36;;;;;;;;;;;;;;;;;;;;;
2019;Michigan;All students;218;37;;;;;;;;;;;;;;;;;;;;;
2019;Minnesota;All students;222;39;;;;;;;;;;;;;;;;;;;;;
2019;Mississippi;All students;219;34;;;;;;;;;;;;;;;;;;;;;
2019;Missouri;All students;218;40;;;;;;;;;;;;;;;;;;;;;
